releasedate,price,duration_in_minutes,rating_stars_out_of_5,total_rating
2008-08-04,468.0,140,5.0,34
2018-05-01,820.0,788,4.5,41
2020-11-06,410.0,123,4.5,38
2021-10-05,615.0,676,4.5,12
2010-01-13,820.0,600,4.5,181
2018-10-30,656.0,635,5.0,72
2014-11-25,233.0,143,5.0,11
2017-05-02,820.0,752,5.0,50
2017-05-02,1256.0,656,5.0,5
2019-09-24,820.0,802,5.0,58
2010-01-14,820.0,528,4.5,130
2011-08-24,1206.0,323,5.0,6
2011-09-27,1206.0,360,5.0,7
2017-10-03,820.0,778,5.0,41
2021-06-24,1093.0,715,4.0,2
2008-02-08,467.0,145,4.5,33
2004-12-26,1206.0,304,5.0,7
2018-11-06,836.0,881,5.0,20
2017-05-02,1256.0,618,5.0,11
2018-11-06,1003.0,1002,5.0,13
2020-10-06,615.0,732,5.0,79
2009-04-14,957.0,1409,4.5,47
2013-04-11,683.0,406,5.0,27
2011-02-01,469.0,157,4.5,25
2010-01-21,820.0,632,5.0,101
2003-12-28,468.0,166,5.0,15
2020-09-01,1256.0,429,5.0,3
2010-10-01,469.0,152,5.0,18
2013-01-24,820.0,824,4.5,37
2014-11-25,233.0,53,5.0,9
2009-07-13,468.0,148,5.0,8
2005-04-05,374.0,192,5.0,5
2013-08-01,702.0,368,5.0,8
2017-08-01,656.0,626,5.0,8
2019-01-22,501.0,193,0.0,0
2018-11-01,284.0,341,4.5,10
2008-02-08,467.0,163,4.0,28
2016-02-04,575.0,443,5.0,9
2018-11-06,836.0,879,5.0,18
2015-03-31,668.0,58,5.0,7
2018-11-06,1003.0,991,5.0,19
2014-12-28,305.0,215,4.5,25
2017-03-20,305.0,199,5.0,11
2020-08-04,410.0,31,4.0,16
2018-12-11,1170.0,1389,5.0,12
2015-11-04,305.0,213,4.5,16
2010-01-13,615.0,231,4.0,4
2015-07-07,233.0,120,5.0,10
2015-07-07,233.0,120,5.0,7
2020-03-03,656.0,764,5.0,17
2008-06-24,266.0,159,0.0,0
2004-12-26,1005.0,467,0.0,0
2016-07-01,575.0,455,5.0,9
2010-08-19,323.0,22,4.5,4
2017-05-02,1256.0,804,5.0,8
2013-08-01,516.0,1057,5.0,1
2019-11-05,1170.0,1375,5.0,14
2015-05-26,233.0,122,5.0,5
2021-11-02,445.0,130,5.0,1
2013-09-17,585.0,349,5.0,5
2014-01-28,702.0,327,5.0,6
2022-03-29,703.0,373,0.0,0
2022-03-10,266.0,34,0.0,0
2021-12-15,117.0,13,0.0,0
2012-07-01,820.0,512,5.0,11
2021-03-02,445.0,471,5.0,9
2009-11-06,468.0,310,5.0,4
2013-08-23,585.0,327,5.0,8
2016-06-07,305.0,174,5.0,3
2022-03-10,266.0,35,0.0,0
2022-04-04,192.0,143,0.0,0
2022-04-01,76.0,33,0.0,0
2022-04-05,192.0,217,0.0,0
2022-04-05,821.0,679,0.0,0
2022-04-04,200.0,176,0.0,0
2022-04-01,706.0,418,0.0,0
2022-04-05,904.0,341,0.0,0
2022-02-11,679.0,43,0.0,0
2022-04-01,112.0,9,0.0,0
2022-04-01,531.0,126,0.0,0
2022-04-05,586.0,570,0.0,0
2022-04-05,904.0,338,0.0,0
2022-04-05,586.0,37,0.0,0
2022-01-04,586.0,456,5.0,1
2007-02-01,683.0,570,5.0,17
2021-03-16,410.0,29,3.5,7
2016-04-06,233.0,43,5.0,5
2021-06-01,305.0,264,5.0,2
2022-01-25,703.0,492,0.0,0
2017-03-20,305.0,166,5.0,4
2022-03-15,1172.0,330,0.0,0
2021-11-22,683.0,58,0.0,0
2016-04-06,233.0,49,5.0,4
2019-10-03,949.0,402,5.0,7
2020-09-29,585.0,198,0.0,0
2016-03-30,233.0,50,5.0,4
2016-11-15,322.0,369,4.5,3
2022-01-04,305.0,188,0.0,0
2018-10-30,585.0,131,5.0,2
2021-09-07,702.0,672,0.0,0
2022-04-01,76.0,30,0.0,0
2022-02-17,323.0,335,0.0,0
2016-11-03,569.0,272,4.5,21
2009-06-23,468.0,277,5.0,6
2009-03-03,468.0,231,5.0,9
2019-05-14,305.0,230,4.0,1
2021-08-05,615.0,410,0.0,0
2011-06-09,266.0,188,5.0,1
2022-01-04,305.0,232,5.0,2
2021-09-16,323.0,408,0.0,0
2021-06-04,836.0,962,3.0,5
2020-10-01,615.0,252,0.0,0
2022-01-25,398.0,235,0.0,0
2022-02-01,352.0,20,0.0,0
2020-06-16,305.0,245,5.0,6
2020-08-04,164.0,45,5.0,1
2016-01-21,305.0,210,5.0,3
2022-02-02,76.0,12,0.0,0
2021-09-30,1003.0,296,5.0,1
2021-11-02,656.0,174,0.0,0
2021-09-01,234.0,41,0.0,0
2016-01-21,305.0,159,5.0,10
2015-09-24,305.0,141,5.0,12
2005-08-29,303.0,235,5.0,7
2022-01-20,410.0,175,0.0,0
2008-10-07,323.0,23,5.0,5
2017-01-01,284.0,39,4.5,20
2016-07-01,575.0,454,5.0,9
2021-05-20,569.0,417,5.0,2
2022-01-11,32.0,11,0.0,0
2022-01-07,166.0,147,0.0,0
2022-02-08,234.0,13,0.0,0
2021-06-22,305.0,238,5.0,1
2015-11-02,305.0,183,5.0,3
2021-11-29,38.0,11,0.0,0
2022-02-09,75.0,11,0.0,0
2022-02-01,469.0,338,0.0,0
2014-05-01,410.0,289,4.5,2
2021-11-10,76.0,42,0.0,0
2019-09-06,32.0,404,4.0,4
2020-09-17,410.0,43,0.0,0
2021-07-06,1005.0,411,5.0,1
2021-10-14,615.0,375,0.0,0
2021-10-25,468.0,945,0.0,0
2021-10-12,799.0,438,0.0,0
2021-09-01,664.0,312,0.0,0
2021-09-28,569.0,300,0.0,0
2021-10-12,585.0,180,0.0,0
2021-10-28,166.0,175,0.0,0
2021-09-01,234.0,46,0.0,0
2020-08-21,615.0,335,0.0,0
2021-09-16,410.0,348,0.0,0
2021-10-15,38.0,26,0.0,0
2022-03-07,38.0,33,0.0,0
2022-03-07,38.0,21,0.0,0
2022-03-07,38.0,29,0.0,0
2021-06-16,204.0,19,0.0,0
2021-10-28,410.0,6,0.0,0
2021-08-26,568.0,495,0.0,0
2021-09-28,569.0,377,0.0,0
2020-05-26,1172.0,135,0.0,0
2021-09-28,703.0,553,0.0,0
2022-03-07,32.0,29,0.0,0
2022-03-07,166.0,141,0.0,0
2022-03-01,186.0,257,0.0,0
2021-12-01,797.0,457,4.5,2
2020-08-04,305.0,151,0.0,0
2022-03-31,99.0,31,0.0,0
2022-03-29,65.0,11,0.0,0
2022-03-29,65.0,10,0.0,0
2022-03-31,300.0,30,0.0,0
2022-03-29,32.0,8,0.0,0
2022-03-29,398.0,262,0.0,0
2022-03-30,113.0,4,0.0,0
2022-03-29,469.0,239,0.0,0
2022-03-31,493.0,573,0.0,0
2022-04-01,573.0,133,0.0,0
2022-03-30,468.0,402,0.0,0
2022-04-01,759.0,561,0.0,0
2022-03-30,367.0,149,0.0,0
2022-04-01,192.0,174,0.0,0
2022-03-31,569.0,33,0.0,0
2022-03-31,410.0,391,0.0,0
2016-06-30,233.0,54,5.0,3
2022-02-11,569.0,55,0.0,0
2021-10-19,323.0,40,5.0,1
2022-03-10,266.0,36,0.0,0
2022-03-01,703.0,381,0.0,0
2021-07-01,664.0,246,0.0,0
2022-01-04,445.0,184,0.0,0
2022-03-09,338.0,11,0.0,0
2021-03-23,1382.0,638,0.0,0
2022-03-21,166.0,57,0.0,0
2022-03-16,105.0,11,0.0,0
2019-07-30,656.0,445,5.0,10
2011-08-30,586.0,322,5.0,5
2021-06-16,422.0,29,0.0,0
