HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
0,0,0,0,27.0,0,3.0,952.0,208.0,951.0,0.0,0
1,0,1,0,28.0,1,0.0,26.0,88.0,5.0,754.0,0
1,1,2,1,49.0,1,0.0,0.0,0.0,0.0,0.0,1
1,0,1,0,24.0,1,0.0,0.0,0.0,0.0,17.0,1
1,0,1,0,21.0,1,0.0,70.0,2.0,0.0,486.0,0
2,2,3,0,47.0,1,27.0,2651.0,538.0,18.0,0.0,1
1,0,1,0,43.0,1,473.0,1390.0,0.0,0.0,0.0,1
2,1,3,2,42.0,1,0.0,0.0,0.0,0.0,0.0,1
1,0,0,0,35.0,1,35.0,0.0,14.0,0.0,816.0,1
1,0,0,0,26.0,1,0.0,0.0,0.0,91.0,900.0,0
2,1,3,0,21.0,2,0.0,0.0,0.0,0.0,0.0,1
1,0,1,0,19.0,1,29.0,2633.0,0.0,0.0,124.0,1
1,0,2,0,21.0,1,0.0,0.0,809.0,0.0,0.0,0
0,1,0,0,62.0,1,0.0,0.0,0.0,0.0,0.0,1
2,0,0,0,27.0,1,551.0,1436.0,0.0,462.0,309.0,0
1,1,2,1,33.0,1,0.0,0.0,0.0,0.0,0.0,1
1,0,2,0,18.0,1,0.0,20.0,790.0,0.0,0.0,1
2,0,4,0,26.0,1,1.0,230.0,0.0,42.0,4030.0,0
1,0,1,0,49.0,1,0.0,4.0,50.0,0.0,746.0,0
1,0,2,0,28.0,1,0.0,1125.0,3.0,562.0,7.0,0
1,0,2,0,20.0,1,0.0,142.0,0.0,3528.0,92.0,0
2,0,4,2,19.0,1,0.0,4494.0,0.0,11.0,3460.0,1
2,1,3,0,21.0,3,0.0,0.0,0.0,0.0,0.0,1
1,0,2,0,24.0,1,0.0,171.0,591.0,22.0,0.0,0
1,0,2,2,35.0,1,432.0,0.0,377.0,0.0,0.0,0
1,0,1,3,29.0,1,0.0,61.0,942.0,2.0,0.0,1
2,0,5,0,19.0,1,0.0,1.0,0.0,2085.0,55.0,0
0,0,1,0,45.0,1,74.0,0.0,0.0,1130.0,22.0,0
1,0,1,0,24.0,1,121.0,10.0,341.0,307.0,47.0,0
1,0,2,0,22.0,1,19.0,9.0,0.0,0.0,594.0,1
1,0,1,0,24.0,1,276.0,0.0,0.0,0.0,489.0,1
3,0,2,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0
2,0,5,0,21.0,2,3036.0,32.0,0.0,2.0,416.0,0
0,3,1,0,26.0,1,0.0,0.0,0.0,0.0,0.0,1
1,0,1,0,27.0,1,0.0,0.0,863.0,33.0,2.0,1
1,1,2,2,2.0,1,0.0,0.0,0.0,0.0,0.0,0
1,0,2,0,36.0,1,0.0,0.0,33.0,677.0,0.0,0
1,0,2,0,18.0,1,1.0,258.0,446.0,0.0,0.0,1
1,0,2,0,59.0,1,0.0,664.0,0.0,144.0,141.0,1
0,0,5,0,45.0,1,3309.0,0.0,10.0,0.0,0.0,0
0,0,0,0,51.0,1,1644.0,0.0,234.0,157.0,64.0,0
1,0,2,0,27.0,1,0.0,0.0,0.0,0.0,1818.0,0
0,0,0,0,47.0,1,1037.0,0.0,258.0,4.0,0.0,0
1,0,0,0,22.0,1,0.0,0.0,601.0,183.0,4.0,0
1,1,2,1,31.0,1,0.0,0.0,0.0,0.0,0.0,1
1,0,1,1,40.0,1,15.0,0.0,0.0,670.0,0.0,0
1,0,2,4,37.0,1,0.0,1368.0,0.0,0.0,960.0,0
2,0,3,0,43.0,1,0.0,1440.0,0.0,85.0,150.0,1
2,1,4,0,21.0,1,0.0,0.0,0.0,0.0,0.0,1
1,0,1,0,24.0,1,0.0,217.0,0.0,77.0,510.0,0
2,0,4,0,55.0,1,0.0,815.0,1558.0,3.0,1334.0,1
0,0,1,0,34.0,1,1199.0,33.0,346.0,0.0,0.0,0
2,1,6,0,24.0,1,0.0,0.0,0.0,0.0,0.0,1
1,0,2,0,40.0,1,21.0,155.0,0.0,267.0,0.0,0
1,0,2,0,19.0,1,245.0,41.0,550.0,0.0,0.0,0
1,0,2,0,64.0,1,37.0,1585.0,234.0,0.0,18.0,1
2,0,3,0,38.0,1,4.0,5974.0,0.0,3682.0,197.0,0
1,0,1,0,47.0,1,285.0,600.0,3.0,0.0,640.0,0
0,0,1,0,38.0,1,490.0,663.0,358.0,855.0,0.0,0
2,0,4,0,29.0,1,0.0,930.0,0.0,2113.0,98.0,0
1,0,2,2,26.0,1,0.0,406.0,0.0,0.0,503.0,1
1,0,1,0,20.0,1,781.0,0.0,33.0,0.0,0.0,1
2,0,3,2,26.0,1,26.0,4587.0,0.0,102.0,0.0,1
1,0,2,0,35.0,1,522.0,0.0,1.0,324.0,60.0,0
1,0,1,0,24.0,1,13.0,221.0,0.0,1154.0,0.0,0
0,0,1,0,45.0,1,1781.0,0.0,17.0,0.0,23.0,0
1,0,2,2,6.0,3,0.0,0.0,0.0,0.0,0.0,1
1,0,0,0,21.0,1,39.0,360.0,0.0,0.0,0.0,1
1,3,2,0,20.0,1,0.0,0.0,0.0,0.0,0.0,1
2,3,3,2,18.0,1,0.0,30.0,0.0,67.0,2790.0,0
1,0,2,0,30.0,1,0.0,43.0,0.0,0.0,6.0,0
2,1,3,0,33.0,1,0.0,0.0,0.0,0.0,0.0,1
0,0,1,0,54.0,1,630.0,298.0,418.0,312.0,0.0,0
1,0,1,1,21.0,1,505.0,0.0,0.0,0.0,110.0,1
1,0,1,0,0.0,1,0.0,0.0,0.0,0.0,0.0,1
1,3,2,1,29.0,1,0.0,0.0,0.0,0.0,0.0,1
1,0,1,0,22.0,1,395.0,0.0,0.0,300.0,125.0,0
1,0,1,0,18.0,1,454.0,0.0,0.0,324.0,0.0,0
1,0,1,0,18.0,1,539.0,2.0,3.0,900.0,0.0,0
2,0,5,0,15.0,1,31.0,804.0,1.0,4732.0,2577.0,0
0,3,5,0,25.0,1,1299.0,0.0,0.0,0.0,0.0,0
1,0,2,0,23.0,1,0.0,0.0,490.0,0.0,319.0,0
1,0,0,0,13.0,1,911.0,1.0,0.0,74.0,0.0,0
1,0,1,2,18.0,1,0.0,0.0,454.0,0.0,263.0,0
1,0,1,0,22.0,1,0.0,0.0,0.0,0.0,1201.0,0
0,0,5,0,28.0,1,938.0,61.0,0.0,53.0,4.0,0
0,0,0,0,29.0,1,528.0,271.0,99.0,0.0,130.0,0
1,0,0,0,29.0,1,25.0,692.0,0.0,0.0,1.0,1
0,0,0,0,57.0,0,435.0,22.0,1435.0,4.0,0.0,1
1,0,2,0,19.0,1,23.0,659.0,0.0,15.0,113.0,0
2,0,3,0,38.0,1,20.0,3960.0,153.0,280.0,1674.0,0
1,0,0,0,53.0,1,3.0,2251.0,0.0,95.0,12.0,1
0,0,0,0,20.0,1,574.0,1.0,792.0,11.0,0.0,0
2,1,0,0,31.0,1,0.0,0.0,0.0,0.0,0.0,1
1,0,1,0,15.0,1,0.0,785.0,0.0,0.0,0.0,1
1,0,1,2,18.0,1,2.0,83.0,576.0,37.0,0.0,0
2,0,4,2,45.0,1,66.0,5974.0,0.0,0.0,625.0,1
1,0,2,0,21.0,1,305.0,0.0,1.0,618.0,2.0,1
1,0,1,0,30.0,1,0.0,236.0,0.0,1149.0,0.0,0
1,1,2,0,20.0,1,0.0,0.0,0.0,0.0,0.0,1
0,1,1,0,20.0,1,0.0,0.0,0.0,0.0,0.0,1
1,0,1,0,26.0,1,207.0,350.0,74.0,0.0,3.0,1
1,0,1,0,18.0,1,711.0,12.0,0.0,83.0,0.0,1
1,1,2,1,28.0,1,0.0,0.0,0.0,0.0,0.0,0
2,1,0,2,40.0,1,0.0,0.0,0.0,0.0,0.0,1
0,1,1,2,53.0,1,0.0,0.0,0.0,0.0,0.0,1
1,0,1,0,28.0,1,589.0,57.0,0.0,0.0,0.0,0
0,0,0,0,34.0,1,751.0,0.0,185.0,0.0,77.0,0
1,0,2,0,0.0,1,0.0,0.0,0.0,0.0,0.0,1
1,0,2,0,20.0,1,0.0,39.0,830.0,17.0,0.0,1
